Brighton Beach Library,"16 Brighton 1st Rd., Brooklyn, New York ,11235",40.5761358,-73.96679206365367,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/brighton-beach
Brownsville Library,"61 Glenmore Ave., Brooklyn, New York ,11212",40.67150425,-73.90859604303299,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/brownsville
Bushwick Library,"340 Bushwick Avenue, Brooklyn, New York ,11206",40.7045433,-73.93964337120033,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/bushwick
Coney Island Library,"1901 Mermaid Ave., Brooklyn, New York ,11224",40.5767254,-73.98607369183532,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/coney-island
Cypress Hills Library,"1197 Sutter Ave., Brooklyn, New York ,11208",40.67274365,-73.87404400397702,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/cypress-hills
Flatbush Library,"22 Linden Blvd., Brooklyn, New York ,11226",40.6519444,-73.9583333,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/flatbush
Kings Bay Library,"3650 Nostrand Ave., Brooklyn, New York ,11229",40.59491045,-73.94118065107546,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/kings-bay
Macon Library,"361 Lewis Ave., Brooklyn, New York ,11233",40.68303425,-73.93481486641453,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/macon
New Lots Library,"665 New Lots Avenue, Brooklyn, New York ,11207",40.6651428,-73.8858911,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/new-lots
Red Hook Library,"7 Wolcott St, Brooklyn, New York ,11231",40.67525405,-74.01034734881583,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/red-hook
Stone Avenue Library,"581 Mother Gaston Boulevard, Brooklyn, New York ,11212",40.664456599999994,-73.90520859465275,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/stone-avenue
Walt Whitman Library,"93 Saint Edwards Street, Brooklyn, New York ,11205",40.69447285,-73.9777358589643,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/walt-whitman
