,lat,long
0,40.6336272,-74.02953071176773
1,40.63887805,-73.98901040627747
2,40.5761358,-73.96679206365367
3,40.67150425,-73.90859604303299
4,40.7045433,-73.93964337120033
5,40.6422103,-73.89952445467358
6,40.6357491,-73.94761124680119
7,40.68737605,-73.96605012620775
8,40.5767254,-73.98607369183532
9,40.66123505,-73.94813676357616
10,40.67274365,-73.87404400397702
11,40.6948181,-73.92839860068831
12,40.6163224,-74.0119970730421
13,40.6519214,-73.95823323761198
14,40.616401,-74.03139177295719
15,40.5905433,-73.97180897393145
16,40.725845,-73.950769
17,40.60568845,-73.98622923631774
18,40.59491045,-73.94118065107546
19,40.61026185,-73.95313979936498
20,40.68303425,-73.93481486641453
21,40.6259039,-73.96027175756689
22,40.6651428,-73.8858911
23,40.6326341,-73.919905
24,40.67525405,-74.01034734881583
25,40.6486404,-73.93039748189646
26,40.6644566,-73.90520859465275
27,40.69447285,-73.9777358589643
28,40.69747665,-73.91221439936335
