Alfred E. Smith Playground,Playground area,Limited Free,Spectrum,https://www.nycgovparks.org/parks/alfred-e-smith-playground/facilities/wifi
Alfred E. Smith Playground,Lobby CRC Multipurpose Room Gym,Limited Free,Spectrum,https://www.nycgovparks.org/parks/alfred-e-smith-playground/facilities/wifi
The Battery,Bosque Area,Free,AT&T,https://www.nycgovparks.org/parks/battery-park/facilities/wifi
The Battery,Ferry Landing,Free,AT&T,https://www.nycgovparks.org/parks/battery-park/facilities/wifi
Bowling Green,Bowling Green,Limited Free,BID,https://www.nycgovparks.org/parks/bowling-green/facilities/wifi
The Queen Elizabeth Ii September 11th Garden,Southeast Section of Park,Partner site,BID,https://www.nycgovparks.org/parks/british-garden-at-hanover-square/facilities/wifi
Bryant Park,Near 6th Ave,Partner site,BID,https://www.nycgovparks.org/parks/bryant-park/facilities/wifi
Bryant Park,Near 6th Ave and Eastern Library steps,Limited Free,Spectrum,https://www.nycgovparks.org/parks/bryant-park/facilities/wifi
Central Park,Delacorte Theater,Limited Free,Spectrum,https://www.nycgovparks.org/parks/central-park/facilities/wifi
Central Park,South side near Sheep Meadow Mineral Spring,Free,AT&T,https://www.nycgovparks.org/parks/central-park/facilities/wifi
Central Park,North Meadow Recreation Center,Limited Free,Spectrum,https://www.nycgovparks.org/parks/central-park/facilities/wifi
Central Park,South side near Rumsey Playfield,Free,AT&T,https://www.nycgovparks.org/parks/central-park/facilities/wifi
Central Park,Tennis Center,Limited Free,Spectrum,https://www.nycgovparks.org/parks/central-park/facilities/wifi
Central Park,East side of Met Museum in Central Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/central-park/facilities/wifi
Central Park,South side near Central Park Zoo,Free,AT&T,https://www.nycgovparks.org/parks/central-park/facilities/wifi
Chelsea Park,Near W 27th St and 10th Ave,Limited Free,Spectrum,https://www.nycgovparks.org/parks/chelsea-park/facilities/wifi
Chelsea Recreation Center,Lobby Gym Cardio Room Weight Room,Limited Free,Spectrum,https://www.nycgovparks.org/parks/chelsea-recreation-center/facilities/wifi
City Hall Park,South side of Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/city-hall-park/facilities/wifi
Dante Park,North side of Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/dante-park/facilities/wifi
Recreation Center 54,Lobby Gym Multipurpose Room,Limited Free,Spectrum,https://www.nycgovparks.org/parks/recreation-center-54/facilities/wifi
Recreation Center 54,East 54th Street Recreation Center outdoor,Limited Free,Spectrum,https://www.nycgovparks.org/parks/recreation-center-54/facilities/wifi
Thomas Paine Park,Entire Park,Free,AT&T,https://www.nycgovparks.org/parks/thomas-paine-park/facilities/wifi
Gertrude Ederle Recreation Center,Lobby Multipurpose Room Fitness Room,Limited Free,Spectrum,https://www.nycgovparks.org/parks/west-59th-st-rec-ctr-and-pool/facilities/wifi
Gertrude Ederle Recreation Center,Outdoor North Park area,Limited Free,Spectrum,https://www.nycgovparks.org/parks/west-59th-st-rec-ctr-and-pool/facilities/wifi
Hamilton Fish Park,Entire Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/hamilton-fish-park/facilities/wifi
Hamilton Fish Park,Lobby and CRC,Limited Free,Spectrum,https://www.nycgovparks.org/parks/hamilton-fish-park/facilities/wifi
Hansborough Recreation Center,Lobby CRC Gym Fitness and Game Rooms,Limited Free,Spectrum,https://www.nycgovparks.org/parks/hansborough-recreation-center/facilities/wifi
Hansborough Recreation Center,Outside the Hansborough Recreation Center,Limited Free,Spectrum,https://www.nycgovparks.org/parks/hansborough-recreation-center/facilities/wifi
Highbridge Park,Wallenberg Playground,Limited Free,Spectrum,https://www.nycgovparks.org/parks/highbridge-park/facilities/wifi
Highbridge Park,Watchtower,Limited Free,Spectrum,https://www.nycgovparks.org/parks/highbridge-park/facilities/wifi
Highbridge Park,Lobby and Gym,Limited Free,Spectrum,https://www.nycgovparks.org/parks/highbridge-park/facilities/wifi
Holcombe Rucker Park,Entire Park,Free,AT&T,https://www.nycgovparks.org/parks/holcombe-rucker-park/facilities/wifi
Imagination Playground,Imagination Playground,Partner site,BID,https://www.nycgovparks.org/parks/imagination-playground/facilities/wifi
J. Hood Wright Park,North side of park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/j-hood-wright-park/facilities/wifi
J. Hood Wright Park,CRC Gym Multipurpose Room,Limited Free,Spectrum,https://www.nycgovparks.org/parks/j-hood-wright-park/facilities/wifi
Jackie Robinson Park,Bandshell,Limited Free,Spectrum,https://www.nycgovparks.org/parks/jackie-robinson-park_manhattan/facilities/wifi
Jackie Robinson Park,Library CRC Gym,Limited Free,Spectrum,https://www.nycgovparks.org/parks/jackie-robinson-park_manhattan/facilities/wifi
Jackson Square,Entire Park,Partner site,BID,https://www.nycgovparks.org/parks/jackson-square/facilities/wifi
James J Walker Park,James J Walker Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/james-j-walker-park/facilities/wifi
Tony Dapolito Recreation Center,Lobby CRC Afterschool Room and Gym,Limited Free,Spectrum,https://www.nycgovparks.org/parks/tony-dapolito-recreation-center/facilities/wifi
Madison Square Park,South side of park,Partner site,BID,https://www.nycgovparks.org/parks/madison-square-park/facilities/wifi
Madison Square Park,Entire Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/madison-square-park/facilities/wifi
Marcus Garvey Park,Amphitheater,Free,AT&T,https://www.nycgovparks.org/parks/marcus-garvey-park/facilities/wifi
Marcus Garvey Park,Outside Pelham Fritz near baseball field,Limited Free,Spectrum,https://www.nycgovparks.org/parks/marcus-garvey-park/facilities/wifi
Marcus Garvey Park,Library CRC Dining Hall Baseball Diamond,Limited Free,Spectrum,https://www.nycgovparks.org/parks/marcus-garvey-park/facilities/wifi
Morningside Park,Near 112th St ballfields,Limited Free,Spectrum,https://www.nycgovparks.org/parks/morningside-park/facilities/wifi
Morningside Park,Near 116th St playground and comfort station,Limited Free,Spectrum,https://www.nycgovparks.org/parks/morningside-park/facilities/wifi
Morningside Park,Near 123rd St playground,Limited Free,Spectrum,https://www.nycgovparks.org/parks/morningside-park/facilities/wifi
Richard Tucker Park,Entire Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/richard-tucker-square/facilities/wifi
Riverside Park South,Along waterfront from W 72nd St to W 78th St,Limited Free,Spectrum,https://www.nycgovparks.org/parks/riverside-park-south/facilities/wifi
Riverside Park South,Along waterfront near Pier i Cafe,Limited Free,Spectrum,https://www.nycgovparks.org/parks/riverside-park-south/facilities/wifi
Stuyvesant Square,Entire Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/stuyvesant-square/facilities/wifi
The High Line,Near W 23rd St,Free,AT&T,https://www.nycgovparks.org/parks/the-high-line/facilities/wifi
Thomas Jefferson Park,Entire Park,Free,AT&T,https://www.nycgovparks.org/parks/thomas-jefferson-park/facilities/wifi
Thomas Jefferson Park,Outside Thomas Jefferson Recreation Center,Limited Free,Spectrum,https://www.nycgovparks.org/parks/thomas-jefferson-park/facilities/wifi
Thomas Jefferson Park,Lobby CRC Classrooms and Fitness Rooms,Limited Free,Spectrum,https://www.nycgovparks.org/parks/thomas-jefferson-park/facilities/wifi
Tompkins Square Park,Around the Field House,Free,AT&T,https://www.nycgovparks.org/parks/tompkins-square-park/facilities/wifi
Union Square Park,Entire park,Partner site,BID,https://www.nycgovparks.org/parks/union-square-park/facilities/wifi
Verdi Square,Entire Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/verdi-square/facilities/wifi
Vietnam Veterans Plaza,Entire park,Partner site,BID,https://www.nycgovparks.org/parks/vietnam-veterans-plaza/facilities/wifi
Washington Square Park,Entire park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/washington-square-park/facilities/wifi
Riverside Park,West 79th St Boat Basin in Riverside Park,Limited Free,Spectrum,https://www.nycgovparks.org/parks/riverside-park/facilities/wifi
West Harlem Piers,West Harlem Piers in Riverside Park at W 131st St,Limited Free,Spectrum,https://www.nycgovparks.org/parks/west-harlem-piers/facilities/wifi
